algorithm,instance_type,n,instance_id,best_cost,time_ms,checked_permutations
BF,ATSP,6,1,196,0.138471,120
BF,ATSP,6,2,165,0.13761,120
BF,ATSP,6,3,206,0.169319,120
BF,ATSP,6,4,166,0.155563,120
BF,ATSP,6,5,75,0.157316,120
BF,ATSP,6,6,169,0.160363,120
BF,ATSP,6,7,208,0.093196,120
BF,ATSP,6,8,143,0.096952,120
BF,ATSP,6,9,197,0.09021,120
BF,ATSP,6,10,124,0.09019,120
BF,ATSP,7,1,173,0.59897,720
BF,ATSP,7,2,137,0.598048,720
BF,ATSP,7,3,177,0.598439,720
BF,ATSP,7,4,147,0.590054,720
BF,ATSP,7,5,149,0.589192,720
BF,ATSP,7,6,149,0.63639,720
BF,ATSP,7,7,132,0.602526,720
BF,ATSP,7,8,68,0.59356,720
BF,ATSP,7,9,174,0.602596,720
BF,ATSP,7,10,133,0.593129,720
BF,ATSP,8,1,187,4.61693,5040
BF,ATSP,8,2,155,5.31739,5040
BF,ATSP,8,3,202,4.65254,5040
BF,ATSP,8,4,85,4.60506,5040
BF,ATSP,8,5,129,5.16948,5040
BF,ATSP,8,6,100,4.66468,5040
BF,ATSP,8,7,226,4.58219,5040
BF,ATSP,8,8,118,4.57437,5040
BF,ATSP,8,9,144,4.62793,5040
BF,ATSP,8,10,160,5.23478,5040
BF,ATSP,9,1,185,40.964,40320
BF,ATSP,9,2,86,39.9351,40320
BF,ATSP,9,3,184,40.0179,40320
BF,ATSP,9,4,96,39.7931,40320
BF,ATSP,9,5,128,40.7834,40320
BF,ATSP,9,6,176,39.8895,40320
BF,ATSP,9,7,220,40.0445,40320
BF,ATSP,9,8,164,39.6819,40320
BF,ATSP,9,9,175,39.8485,40320
BF,ATSP,9,10,201,39.8171,40320
BF,ATSP,10,1,156,384.754,362880
BF,ATSP,10,2,102,384.557,362880
BF,ATSP,10,3,155,411.199,362880
BF,ATSP,10,4,131,420.635,362880
BF,ATSP,10,5,142,413.505,362880
BF,ATSP,10,6,123,407.662,362880
BF,ATSP,10,7,167,410.215,362880
BF,ATSP,10,8,143,409.841,362880
BF,ATSP,10,9,117,396.559,362880
BF,ATSP,10,10,164,389.659,362880
BF,ATSP,11,1,181,4375.63,3628800
BF,ATSP,11,2,182,4220.46,3628800
BF,ATSP,11,3,150,4136.89,3628800
BF,ATSP,11,4,141,4228.06,3628800
BF,ATSP,11,5,131,4162.33,3628800
BF,ATSP,11,6,150,4139.11,3628800
BF,ATSP,11,7,187,4339.2,3628800
BF,ATSP,11,8,235,4161.3,3628800
BF,ATSP,11,9,143,4223.23,3628800
BF,ATSP,11,10,177,4184.96,3628800
BF,ATSP,12,1,141,48937.1,39916800
BF,ATSP,12,2,212,50341.4,39916800
BF,ATSP,12,3,102,49964.4,39916800
BF,ATSP,12,4,132,49885.7,39916800
BF,ATSP,12,5,189,49133.9,39916800
BF,ATSP,12,6,119,48115.7,39916800
BF,ATSP,12,7,156,49773.7,39916800
BF,ATSP,12,8,152,49371.7,39916800
BF,ATSP,12,9,169,48937.5,39916800
BF,ATSP,12,10,136,48745.6,39916800
