algorithm,instance_type,n,instance_id,best_cost,time_ms,checked_permutations,memory_kB
BF,TSP,6,1,150,0.082356,60,3764
BF,TSP,6,2,196,0.079741,60,3956
BF,TSP,6,3,294,0.07933,60,3956
BF,TSP,6,4,196,0.077777,60,3956
BF,TSP,6,5,202,0.078658,60,3956
BF,TSP,6,6,166,0.07928,60,3956
BF,TSP,6,7,231,0.085962,60,3956
BF,TSP,6,8,250,0.078979,60,3956
BF,TSP,6,9,191,0.078588,60,3956
BF,TSP,6,10,190,0.051547,60,3956
BF,TSP,7,1,263,0.333389,360,3956
BF,TSP,7,2,145,0.517637,360,3956
BF,TSP,7,3,180,0.332748,360,3956
BF,TSP,7,4,141,0.339911,360,3956
BF,TSP,7,5,198,0.332688,360,3956
BF,TSP,7,6,130,0.336325,360,3956
BF,TSP,7,7,136,0.340543,360,3956
BF,TSP,7,8,159,0.334801,360,3956
BF,TSP,7,9,140,0.33432,360,3956
BF,TSP,7,10,217,0.338889,360,3956
BF,TSP,8,1,258,2.69419,2520,3956
BF,TSP,8,2,149,2.56794,2520,3956
BF,TSP,8,3,258,2.57223,2520,3956
BF,TSP,8,4,152,2.54173,2520,3956
BF,TSP,8,5,222,2.6379,2520,3956
BF,TSP,8,6,100,2.54345,2520,3956
BF,TSP,8,7,192,2.54523,2520,3956
BF,TSP,8,8,126,2.56505,2520,3956
BF,TSP,8,9,141,2.56128,2520,3956
BF,TSP,8,10,231,2.55938,2520,3956
BF,TSP,9,1,211,22.251,20160,3956
BF,TSP,9,2,180,22.2945,20160,3956
BF,TSP,9,3,199,22.4031,20160,3956
BF,TSP,9,4,105,22.2322,20160,3956
BF,TSP,9,5,183,22.9787,20160,3956
BF,TSP,9,6,147,22.2684,20160,3956
BF,TSP,9,7,278,22.118,20160,3956
BF,TSP,9,8,136,22.868,20160,3956
BF,TSP,9,9,183,22.288,20160,3956
BF,TSP,9,10,279,22.2097,20160,3956
BF,TSP,10,1,141,214.105,181440,3960
BF,TSP,10,2,200,214.25,181440,3960
BF,TSP,10,3,181,214.035,181440,3960
BF,TSP,10,4,137,213.446,181440,3960
BF,TSP,10,5,195,214.18,181440,3960
BF,TSP,10,6,128,213.709,181440,3960
BF,TSP,10,7,206,214.912,181440,3960
BF,TSP,10,8,187,213.698,181440,3960
BF,TSP,10,9,193,213.982,181440,3960
BF,TSP,10,10,201,213.983,181440,3960
BF,TSP,11,1,243,2263.71,1814400,3960
BF,TSP,11,2,221,2261.18,1814400,3960
BF,TSP,11,3,245,2265.39,1814400,3960
BF,TSP,11,4,183,2267.4,1814400,3960
BF,TSP,11,5,168,2268.92,1814400,3960
BF,TSP,11,6,231,2265.72,1814400,3960
BF,TSP,11,7,235,2268.08,1814400,3960
BF,TSP,11,8,262,2266.6,1814400,3960
BF,TSP,11,9,184,2265.12,1814400,3960
BF,TSP,11,10,239,2267.98,1814400,3960
BF,TSP,12,1,171,26330.6,19958400,3960
BF,TSP,12,2,212,27228.7,19958400,3960
BF,TSP,12,3,162,27583.7,19958400,3960
BF,TSP,12,4,183,27161,19958400,3960
BF,TSP,12,5,235,27491.6,19958400,3960
BF,TSP,12,6,167,27197.6,19958400,3960
BF,TSP,12,7,263,27361.8,19958400,3960
BF,TSP,12,8,190,27036,19958400,3960
BF,TSP,12,9,234,27457.3,19958400,3960
BF,TSP,12,10,179,27374,19958400,3960
